order_id,customer_id,order_date
489434,13085,2009-12-01 07:45:00
489435,13085,2009-12-01 07:46:00
489436,13078,2009-12-01 09:06:00
489437,15362,2009-12-01 09:08:00
489438,18102,2009-12-01 09:24:00
489439,12682,2009-12-01 09:28:00
489440,18087,2009-12-01 09:43:00
489441,18087,2009-12-01 09:44:00
489442,13635,2009-12-01 09:46:00
489443,14110,2009-12-01 09:50:00
489444,12636,2009-12-01 09:55:00
489445,17519,2009-12-01 09:57:00
489446,13758,2009-12-01 10:06:00
489447,12362,2009-12-01 10:10:00
489448,15413,2009-12-01 10:18:00
489450,16321,2009-12-01 10:36:00
489460,16167,2009-12-01 10:46:00
489461,17865,2009-12-01 10:49:00
489462,17592,2009-12-01 10:49:00
489465,13767,2009-12-01 10:52:00
489488,17238,2009-12-01 10:59:00
489505,15712,2009-12-01 11:17:00
489514,15311,2009-12-01 11:21:00
489517,16329,2009-12-01 11:34:00
489519,17700,2009-12-01 11:37:00
489520,14911,2009-12-01 11:41:00
489522,15998,2009-12-01 11:45:00
489523,12931,2009-12-01 11:46:00
489526,12533,2009-12-01 11:50:00
489529,17984,2009-12-01 11:51:00
489531,14871,2009-12-01 11:57:00
489532,13394,2009-12-01 11:58:00
489533,16011,2009-12-01 12:02:00
489536,16393,2009-12-01 12:13:00
489537,14040,2009-12-01 12:14:00
489539,15061,2009-12-01 12:18:00
489540,12913,2009-12-01 12:18:00
489542,15061,2009-12-01 12:19:00
489544,14341,2009-12-01 12:20:00
489545,17804,2009-12-01 12:22:00
489546,14156,2009-12-01 12:30:00
489547,13599,2009-12-01 12:30:00
489550,14156,2009-12-01 12:33:00
489552,17063,2009-12-01 12:36:00
489556,15719,2009-12-01 12:47:00
489557,12490,2009-12-01 12:52:00
489558,15793,2009-12-01 12:54:00
489559,17056,2009-12-01 12:55:00
489560,13526,2009-12-01 12:56:00
489561,14654,2009-12-01 12:57:00
489562,17998,2009-12-01 13:07:00
489564,13526,2009-12-01 13:13:00
489566,17742,2009-12-01 13:16:00
489567,15326,2009-12-01 13:19:00
489569,14478,2009-12-01 13:20:00
489571,15967,2009-12-01 13:29:00
489572,17611,2009-12-01 13:29:00
489573,15051,2009-12-01 13:29:00
489574,13097,2009-12-01 13:31:00
489575,13590,2009-12-01 13:37:00
489576,15984,2009-12-01 13:38:00
489579,16887,2009-12-01 13:41:00
489580,12921,2009-12-01 13:43:00
489581,15945,2009-12-01 13:47:00
489582,14543,2009-12-01 13:47:00
489584,18037,2009-12-01 13:48:00
489585,15662,2009-12-01 13:49:00
489586,15380,2009-12-01 13:50:00
